City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Victoria,22.2855,114.1577,69.85,55,5,6.6
1,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,90,17.27
2,Ushuaia,-54.8,-68.3,40.66,81,75,24.16
3,Lourdes,43.1,-0.05,34.72,100,90,8.05
4,Lebu,-37.6167,-73.65,53.2,79,7,18.95
5,Airai,-8.9266,125.4092,71.8,65,100,0.47
6,Vaini,-21.2,-175.2,82.56,78,40,12.66
7,Nova Vicosa,-17.8919,-39.3719,75.65,91,57,15.9
8,Saint-Philippe,-21.3585,55.7679,72.99,84,42,5.93
9,Dabhol,17.6,73.1667,71.19,58,100,6.93
10,Henties Bay,-22.116,14.2845,58.41,93,0,2.3
11,Fortuna Foothills,32.6578,-114.4119,78.89,10,1,8.05
12,Busselton,-33.65,115.3333,66.54,69,99,8.57
13,Talnakh,69.4865,88.3972,-17.25,99,99,4.29
14,Atuona,-9.8,-139.0333,78.55,74,6,16.96
15,Necochea,-38.5473,-58.7368,59.83,97,100,10.22
16,Hilo,19.7297,-155.09,76.39,76,36,15.19
17,Yellowknife,62.456,-114.3525,18.12,100,90,10.36
18,Lagoa,39.05,-27.9833,60.15,56,97,3.24
19,Wanlaweyn,2.6185,44.8938,76.98,83,9,4.32
20,Cidreira,-30.1811,-50.2056,70.83,90,100,10.85
21,Belturbet,54.1,-7.45,37.58,88,100,1.36
22,Rikitea,-23.1203,-134.9692,76.84,72,0,18.19
23,Ishigaki,24.3448,124.1572,71.73,83,75,17.27
24,Yar-Sale,66.8333,70.8333,-0.87,92,100,11.03
25,Punta Arenas,-53.15,-70.9167,44.71,70,75,31.07
26,Hermanus,-34.4187,19.2345,62.08,88,100,5.75
27,Olafsvik,64.8945,-23.7142,38.7,89,84,10.11
28,Husavik,66.0449,-17.3389,30.11,97,100,6.4
29,Aksu,41.1231,80.2644,23.13,66,9,2.62
30,Dhidhdhoo,6.8833,73.1,80.29,79,94,9.15
31,Avarua,-21.2078,-159.775,78.85,65,75,8.05
32,Iqaluit,63.7506,-68.5145,24.53,68,90,13.8
33,Asau,46.4333,26.4,41.92,78,100,4.65
34,Visnes,59.3556,5.2242,22.89,93,6,4.61
35,Bathsheba,13.2167,-59.5167,81.21,78,20,13.8
36,Bonavista,48.6499,-53.1147,37.4,81,57,16.62
37,Souillac,-20.5167,57.5167,71.98,88,40,4.61
38,Tiksi,71.6872,128.8694,-16.01,99,99,6.35
39,Port Alfred,-33.5906,26.891,64.36,81,41,11.77
40,Kaabong,3.4836,34.1492,66.47,72,99,10.2
41,Albany,42.6001,-73.9662,30.61,97,85,0.69
42,Puerto Ayora,-0.7393,-90.3518,69.6,81,78,10.96
43,Cap Malheureux,-19.9842,57.6142,72.09,68,2,7.85
44,East London,-33.0153,27.9116,66.13,76,2,7.4
45,Half Moon Bay,37.4636,-122.4286,65.98,55,1,9.22
46,Edson,53.5835,-116.4356,30.34,93,1,3.44
47,Carauari,-4.8828,-66.8958,74.52,98,100,2.64
48,Mahebourg,-20.4081,57.7,71.89,88,40,4.61
49,Severo-Kurilsk,50.6789,156.125,34.11,71,99,16.49
50,Victor Harbor,-35.5667,138.6167,78.89,37,0,2.57
51,Tupik,54.4253,119.9327,1.69,85,100,1.48
52,Kapaa,22.0752,-159.319,76.91,69,84,14.45
53,Buala,-8.145,159.5921,87.39,63,49,5.99
54,Semirom,31.4167,51.5667,38.68,57,100,1.92
55,Iskateley,67.6803,53.1512,1.92,97,100,9.08
56,Mataura,-46.1927,168.8643,70.99,27,4,6.89
57,Karad,17.2833,74.2,65.75,86,100,5.86
58,San Cristobal,7.7669,-72.225,73.58,95,22,1.21
59,Alofi,-19.0595,-169.9187,82.29,54,0,16.11
60,Ribeira Grande,38.5167,-28.7,62.13,64,82,6.46
61,Ruma,45.0081,19.8222,42.62,93,100,8.14
62,Santa Maria Del Oro,25.9333,-105.3667,56.35,47,91,7.94
63,Beloha,-25.1667,45.05,63.63,68,0,13.2
64,Pasighat,28.0667,95.3333,59.94,51,2,3.18
65,The Valley,18.217,-63.0578,80.74,78,20,8.05
66,Marzuq,14.4,46.4667,59.83,33,0,3.74
67,Yaring,6.8662,101.3689,73.44,96,100,7.7
68,Agirish,61.9247,63.0231,24.94,95,100,7.54
69,Alugan,12.2188,125.4808,82.22,83,100,10.47
70,Inhambane,-23.865,35.3833,70.57,74,100,8.95
71,Hobart,-42.8794,147.3294,64.26,63,20,12.66
72,Nuuk,64.1835,-51.7216,36.95,87,100,27.89
73,Hervey Bay,-25.2986,152.8535,77.11,88,100,11.9
74,Georgetown,5.4112,100.3354,78.73,94,20,0.0
75,Road Town,18.4167,-64.6167,80.64,83,20,4.61
76,Hualmay,-11.0964,-77.6139,66.31,84,91,9.28
77,Avera,33.194,-82.5271,51.46,49,99,9.08
78,Plettenberg Bay,-34.0527,23.3716,61.32,86,46,5.19
79,Nikolskoye,59.7035,30.7861,21.09,91,100,6.31
80,Pangnirtung,66.1451,-65.7125,12.78,72,100,9.93
81,Jamestown,42.097,-79.2353,33.39,100,90,9.22
82,Amvrosiyivka,47.7935,38.4777,51.01,97,100,13.62
83,Rocha,-34.4833,-54.3333,63.66,98,100,3.11
84,Bethel,41.3712,-73.414,36.18,80,90,0.0
85,Bluff,-46.6,168.3333,58.19,68,68,19.22
86,Qaanaaq,77.484,-69.3632,-7.73,68,7,8.37
87,Paamiut,61.994,-49.6678,37.42,85,100,22.79
88,Lasa,46.6166,10.7002,23.74,93,100,6.38
89,Butaritari,3.0707,172.7902,81.73,78,100,12.97
90,Guerrero Negro,27.9769,-114.0611,69.3,55,0,9.64
91,Cape Town,-33.9258,18.4232,61.21,100,75,4.61
92,Verkhoyansk,67.5447,133.385,-25.37,100,99,1.79
93,Mehamn,71.0357,27.8492,10.98,92,65,14.83
94,Nalut,30.3333,10.85,49.96,58,81,15.3
95,Faanui,-16.4833,-151.75,81.37,72,71,8.12
96,Ilebo,-4.3167,20.5833,68.83,99,100,1.28
97,Yenotayevka,47.2456,47.0281,40.37,95,99,8.52
98,Shelburne,44.0787,-80.2041,27.05,98,99,5.35
99,Luderitz,-26.6481,15.1594,59.41,84,67,5.97
100,Mayo,38.8876,-76.5119,40.98,61,100,10.07
101,Vestmannaeyjar,63.4427,-20.2734,45.19,92,100,18.95
102,Flinders,-34.5833,150.8552,65.48,65,74,4.43
103,Longyearbyen,78.2186,15.6401,10.24,61,75,21.85
104,Provideniya,64.3833,-173.3,-3.89,50,0,8.95
105,Deputatskiy,69.3,139.9,-12.53,96,100,4.88
106,Odweyne,9.4092,45.064,67.44,26,11,17.18
107,Rio Grande,-32.035,-52.0986,70.83,90,65,12.75
108,Westport,41.1415,-73.3579,34.11,86,100,2.71
109,Port Blair,11.6667,92.75,79.92,78,5,9.19
110,Bucerias,20.75,-105.3333,74.32,72,14,2.89
111,Thompson,55.7435,-97.8558,-2.04,84,75,2.3
112,Bagacay,12.9821,124.1415,82.0,82,99,10.87
113,Bambous Virieux,-20.3428,57.7575,71.85,88,40,4.61
114,Mabay,6.0577,124.4666,83.82,71,96,2.3
115,Lavrentiya,65.5833,-171.0,-12.5,91,9,7.47
116,Fairbanks,64.8378,-147.7164,-25.64,69,1,0.0
117,Pontianak,-0.0333,109.3333,75.18,94,20,3.44
118,Narsaq,60.9167,-46.05,37.44,99,100,2.59
119,Vao,-22.6667,167.4833,75.96,89,59,19.48
120,Arraial Do Cabo,-22.9661,-42.0278,73.2,86,0,4.83
121,Bagdarin,54.4333,113.6,-0.94,89,100,2.08
122,Praia Da Vitoria,38.7333,-27.0667,50.25,100,0,1.83
123,Los Llanos De Aridane,28.6585,-17.9182,62.35,72,75,14.97
124,Gat,31.61,34.7642,61.48,34,29,2.75
125,Coihaique,-45.5752,-72.0662,55.35,50,75,8.05
126,Saskylakh,71.9167,114.0833,-21.01,100,99,4.9
127,Kodiak,57.79,-152.4072,13.26,64,67,3.51
128,Neiafu,-18.65,-173.9833,83.08,61,20,12.66
129,Cherskiy,68.75,161.3,-17.39,98,100,5.95
130,Chuy,-33.6971,-53.4616,64.22,96,100,4.79
131,Hobyo,5.3505,48.5268,80.65,77,22,17.16
132,Carutapera,-1.195,-46.02,79.59,80,15,6.91
133,Carnarvon,-24.8667,113.6333,84.27,45,0,16.11
134,Padang,-0.9492,100.3543,78.85,77,100,1.63
135,Kaitangata,-46.2817,169.8464,69.93,31,6,6.13
136,Umm Lajj,25.0213,37.2685,82.74,37,100,11.95
137,Terrace,54.5163,-128.6035,40.91,75,75,12.66
138,Porto Belo,-27.1578,-48.5531,75.15,88,94,2.59
139,Ayolas,-27.4,-56.9,67.06,94,3,4.07
140,Pontes E Lacerda,-15.2261,-59.3353,73.04,96,50,3.87
141,Lorengau,-2.0226,147.2712,85.48,68,48,3.94
142,Guozhen,34.3659,107.359,38.35,75,100,2.39
143,Nabire,-3.3667,135.4833,87.58,63,97,2.04
144,Kavaratti,10.5669,72.642,80.82,80,100,18.03
145,Nyrob,60.733,56.7202,30.76,96,100,10.98
146,Mar Del Plata,-38.0023,-57.5575,62.62,100,90,11.5
147,Clarence Town,-32.5833,151.7833,67.91,69,100,2.91
148,Colares,38.7992,-9.4469,58.19,81,49,19.82
149,Meybod,32.2501,54.0166,48.22,51,96,6.49
150,Chumikan,54.7183,135.315,0.64,87,2,8.16
151,Coquimbo,-29.9533,-71.3436,60.53,82,0,10.36
152,Zhuhai,22.2769,113.5678,69.58,68,0,14.97
153,Pangody,65.85,74.4859,-5.13,95,100,8.59
154,Acapulco,16.8634,-99.8901,78.1,80,49,4.9
155,Vostok,46.4856,135.8833,28.13,94,99,6.26
156,Alihe,50.5667,123.7167,11.46,80,13,2.26
157,Alberton,46.8168,-64.0654,30.11,70,52,17.27
158,Kieta,-6.2167,155.6333,85.17,67,100,4.54
159,Bud,39.447,-86.1758,33.82,55,1,6.98
160,Castro,-24.7911,-50.0119,68.95,60,100,7.05
161,Kathmandu,27.7167,85.3167,46.62,93,20,3.44
162,Marsh Harbour,26.5412,-77.0636,72.82,69,94,4.94
163,Kahului,20.8947,-156.47,79.86,70,15,14.74
164,Tasiilaq,65.6145,-37.6368,18.46,95,100,7.0
165,Nantucket,41.2835,-70.0995,37.45,86,100,10.54
166,Tiznit,29.5833,-9.5,54.79,39,0,3.38
167,Vilhena,-12.7406,-60.1458,70.03,91,100,3.58
168,Takoradi,4.8845,-1.7554,79.56,83,30,8.21
169,Sabang,5.8933,95.3214,79.74,76,100,3.58
170,Nome,64.5011,-165.4064,-19.97,98,17,4.74
171,Raudeberg,61.9875,5.1352,27.27,60,81,7.83
172,Baykit,61.67,96.37,11.1,89,100,10.76
173,Nanortalik,60.1432,-45.2371,38.93,97,100,11.63
174,Bilibino,68.0546,166.4372,1.49,97,100,2.37
175,Kosonsoy,41.2561,71.5508,28.96,21,87,3.42
176,Katwa,23.6399,88.128,63.41,66,100,5.88
177,Havre,49.5833,0.3333,38.97,81,90,5.75
178,Dikson,73.5069,80.5464,-14.84,100,100,15.01
179,Port Elizabeth,-33.918,25.5701,62.89,88,0,10.36
180,Vila Franca Do Campo,37.7167,-25.4333,59.41,64,86,3.44
181,Hasaki,35.7333,140.8333,46.8,45,99,7.29
182,Warri,5.5167,5.75,77.0,91,100,1.23
183,Barrow,71.2906,-156.7887,-8.43,96,100,8.52
184,Purranque,-40.9167,-73.1667,61.93,73,6,3.51
185,Villanueva De Cordoba,38.3228,-4.6287,37.13,93,100,10.29
186,Ornskoldsvik,63.2909,18.7153,13.15,100,100,4.61
187,San Patricio,28.017,-97.5169,60.66,70,99,9.71
188,Guanare,9.0418,-69.7421,82.42,74,100,3.44
189,Wisla,49.6563,18.8591,34.18,96,100,4.23
190,Sovetskiy,61.3614,63.5842,27.01,94,100,9.01
191,Ixtapa,20.7,-105.2,71.96,76,14,1.61
192,Tuy Hoa,13.0833,109.3,76.33,92,100,3.89
193,Tura,25.5198,90.2201,58.5,65,24,3.22
194,Goma,-1.6792,29.2228,61.36,85,29,2.75
195,Pisco,-13.7,-76.2167,66.25,82,0,13.8
196,Khor,47.8861,134.9464,23.07,96,100,10.07
197,Kavieng,-2.5744,150.7967,83.59,75,97,9.28
198,Vacha,55.8008,42.7706,32.49,98,100,5.21
199,Baglung,28.2719,83.5898,51.1,53,56,5.95
200,Cabinda,-5.55,12.2,78.33,90,100,4.21
201,Port Hedland,-20.3167,118.5667,89.65,45,0,8.05
202,Erechim,-27.6342,-52.2739,66.24,92,93,4.32
203,Gambo,4.6482,22.2633,71.2,58,53,0.27
204,Strezhevoy,60.7333,77.5889,24.78,95,100,9.55
205,Lompoc,34.6391,-120.4579,75.34,41,0,5.82
206,Cascais,38.6979,-9.4215,58.35,81,38,18.88
207,Lata,40.1629,-8.3327,52.21,91,75,10.31
208,Dingle,10.9995,122.6711,82.85,79,39,9.51
209,Prilep,41.3464,21.5544,41.47,90,100,6.91
210,Sola,-13.8833,167.55,83.07,84,90,0.0
211,Hithadhoo,-0.6,73.0833,81.61,76,41,18.59
212,Wukari,7.85,9.7833,73.4,27,37,1.68
213,Sitka,57.0531,-135.33,31.89,80,75,4.61
214,Benghazi,32.1167,20.0667,71.74,73,100,15.46
215,Belogorsk,50.9158,128.4611,2.01,89,5,7.07
216,Ponta Do Sol,32.6667,-17.1,65.03,75,3,7.92
217,Hambantota,6.1241,81.1185,75.54,100,75,3.44
218,Gizo,-8.103,156.8419,85.48,67,99,5.77
219,Udachnyy,66.4167,112.4,-22.4,99,98,1.97
220,Burnie,-41.0667,145.9167,59.76,59,96,6.85
221,Chokurdakh,70.6333,147.9167,-38.85,100,95,0.76
222,Teterow,53.7833,12.5667,37.56,98,100,6.35
223,Cabo San Lucas,22.8909,-109.9124,78.1,73,90,6.91
224,Vila Velha,-20.3297,-40.2925,71.55,88,40,9.22
225,Alto Araguaia,-17.3147,-53.2153,73.09,84,100,2.26
226,Camocim,-2.9022,-40.8411,79.88,81,32,12.03
227,Buin,-33.7333,-70.75,77.32,28,8,0.72
228,Alice Springs,-23.7,133.8833,80.15,28,0,12.66
229,Akureyri,65.6835,-18.0878,32.31,98,100,5.88
230,Bredasdorp,-34.5322,20.0403,62.91,78,100,4.18
231,Nelson Bay,-32.7167,152.15,68.05,70,93,5.32
232,Egvekinot,66.3167,-179.1667,-4.27,94,100,1.86
233,Mbekenyera,-10.0,38.9833,68.88,94,99,1.5
234,Lake City,30.1897,-82.6393,55.44,62,90,8.05
235,Miraflores,19.2167,-98.8083,65.05,65,91,2.19
236,Diffa,13.3154,12.6113,71.24,24,75,8.41
237,Igarka,67.4667,86.5833,-23.46,100,100,2.17
238,Torbay,47.6666,-52.7314,43.84,79,13,16.28
239,Juneau,58.3019,-134.4197,32.0,74,75,12.66
240,Maneadero,31.7167,-116.5667,62.6,48,0,3.89
241,Esil,51.9556,66.4042,11.55,80,100,6.24
242,Aripuana,-9.1667,-60.6333,75.2,91,100,0.51
243,Ilulissat,69.2167,-51.1,13.6,73,100,2.46
244,Grootfontein,-19.5667,18.1167,67.93,70,98,8.52
245,Charagua,-19.8,-63.2167,64.17,87,100,6.2
246,Guasdualito,7.2424,-70.7324,80.6,89,100,0.0
247,Camacha,33.0833,-16.3333,61.56,67,40,11.5
248,Mount Gambier,-37.8333,140.7667,77.79,26,0,5.41
249,Puerto Del Rosario,28.5004,-13.8627,64.15,59,19,26.46
250,Taltal,-25.4,-70.4833,62.06,80,30,4.12
251,Leeton,-34.5667,146.4,71.55,51,58,7.9
252,Balikpapan,-1.2675,116.8289,76.19,88,20,4.61
253,Saint George,37.1041,-113.5841,68.47,19,1,0.0
254,Namibe,-15.1961,12.1522,70.12,73,96,3.85
255,Laguna,38.421,-121.4238,66.7,59,1,3.44
256,New Norfolk,-42.7826,147.0587,63.9,43,42,4.47
257,Yanam,16.7333,82.2167,77.4,80,73,6.85
258,Vadamadurai,10.4667,78.0833,72.27,95,100,2.59
259,Batagay-Alyta,67.8006,130.4114,-20.04,97,100,3.78
260,Birao,10.2849,22.7882,71.13,24,38,5.32
261,Lazaro Cardenas,17.9583,-102.2,78.17,70,1,5.26
262,Codrington,-38.2667,141.9667,74.48,43,0,2.15
263,Pevek,69.7008,170.3133,2.44,95,100,1.7
264,Fortuna,40.5982,-124.1573,54.52,94,90,0.0
265,Ahipara,-35.1667,173.1667,71.35,59,73,5.97
266,Chapais,49.7834,-74.8492,6.1,98,87,2.71
267,Cantanhede,-3.6333,-44.3767,76.19,91,24,3.42
268,Susacon,6.2298,-72.6901,54.23,91,92,4.99
269,Bartow,27.8964,-81.8431,62.69,67,90,0.0
270,Aguimes,27.9054,-15.4461,63.23,68,40,23.02
271,Bowen,-20.0167,148.2333,75.42,80,100,10.2
272,Tabuk,17.4189,121.4443,79.45,78,82,3.67
273,Parana,-31.732,-60.5238,64.58,62,0,9.78
274,Saldanha,-33.0117,17.9442,61.81,86,99,4.81
275,Genhe,50.7833,121.5167,3.69,94,97,2.48
276,Darnah,32.767,22.6367,73.58,33,100,29.42
277,Cururupu,-1.8283,-44.8683,76.69,89,7,3.51
278,Biak,-0.9131,122.8766,77.27,83,100,2.28
279,Rawson,-43.3002,-65.1023,69.87,30,76,10.69
280,Vidosi,43.7714,17.0283,38.71,94,100,4.03
281,Yerbogachen,61.2767,108.0108,0.52,98,100,3.04
282,Saint-Pierre,-21.3393,55.4781,73.08,83,75,4.61
283,Ullapool,57.8987,-5.1604,32.22,81,100,4.85
284,Veraval,20.9,70.3667,74.98,45,99,10.87
285,Ayacucho,-13.1583,-74.2239,60.71,71,100,4.47
286,Portland,45.5234,-122.6762,56.43,83,100,8.1
287,Lock Haven,41.137,-77.4469,36.09,95,76,6.15
288,Sterling,39.0062,-77.4286,46.4,61,20,8.05
289,Thomaston,32.8882,-84.3266,48.94,66,1,5.75
290,Manokwari,-0.8667,134.0833,83.97,72,87,4.9
291,Bakel,14.905,-12.4568,78.91,25,16,10.11
292,Sulat,11.8103,125.4544,81.81,84,100,8.93
293,The Pas,53.8251,-101.2541,19.78,89,100,9.73
294,Constitucion,-35.3333,-72.4167,54.45,76,0,16.78
295,Nushki,29.5542,66.0215,53.71,30,86,5.21
296,Marang,5.2056,103.2059,77.04,88,100,3.15
297,Agadez,19.75,10.25,68.49,22,5,1.41
298,Luwuk,-0.9516,122.7875,78.98,86,100,1.45
299,Upernavik,72.7868,-56.1549,-8.27,76,61,8.59
300,Marawi,7.9986,124.2928,78.03,72,19,2.51
301,North Bend,43.4065,-124.2243,52.21,95,65,4.25
302,Port Hardy,50.6996,-127.4199,47.95,95,79,4.09
303,Severodvinsk,64.5635,39.8302,5.11,87,100,6.46
304,Sobolevo,54.4299,31.8996,37.13,98,100,10.67
305,Shiyan,32.6475,110.7781,51.37,58,100,4.74
306,Bonthe,7.5264,-12.505,79.36,83,0,5.88
307,Nobeoka,32.5833,131.6667,56.73,59,2,2.73
308,Lodingen,68.414,15.9951,24.94,96,100,12.1
309,Ancud,-41.8697,-73.8203,53.71,86,100,6.53
310,Hofn,64.2539,-15.2082,35.15,87,100,7.38
311,Belmonte,-15.8631,-38.8828,77.5,89,90,13.67
312,Havoysund,70.9963,24.6622,13.08,86,86,7.29
313,Priladozhskiy,59.85,31.4833,20.86,88,100,7.9
314,Jalu,29.0331,21.5482,73.85,21,100,13.51
315,Patrocinio,-18.9439,-46.9925,68.56,81,55,1.1
316,Eldoret,0.5204,35.2699,56.91,86,95,14.09
317,Trelew,-43.249,-65.3051,72.18,23,87,16.35
318,Dodge City,37.7528,-100.0171,53.11,41,3,9.89
319,Nemuro,43.3236,145.575,42.19,68,100,12.15
320,Jequie,-13.8575,-40.0836,71.47,97,100,0.54
321,Bac Lieu,9.285,105.7244,76.35,95,100,11.5
322,Bardiyah,31.7561,25.0865,73.51,34,100,22.35
323,Garowe,8.4054,48.4845,70.16,63,12,6.89
324,Verkhniye Kigi,55.4083,58.6044,19.98,84,96,4.59
325,Prince Rupert,54.3161,-130.3201,38.89,85,100,3.76
326,Innisfail,-17.5333,146.0333,85.73,63,24,7.14
327,Odienne,9.51,-7.5692,74.77,48,0,1.7
328,Meulaboh,4.1363,96.1285,75.74,88,100,3.04
329,Hokitika,-42.7167,170.9667,67.26,74,53,6.96
330,Tuatapere,-46.1333,167.6833,65.57,46,4,9.53
331,Santa Cruz,-17.8,-63.1667,72.86,94,90,5.75
332,Wichita Falls,33.9137,-98.4934,53.74,40,1,5.75
333,Kenai,60.5544,-151.2583,4.32,88,98,8.28
334,Okhotsk,59.3833,143.3,-7.31,87,6,19.53
335,Tabou,4.423,-7.3528,78.84,84,9,6.46
336,Aconibe,1.2968,10.9369,67.21,97,94,0.98
337,Aykhal,66.0,111.5,-13.22,100,100,2.19
338,Toowoomba,-27.55,151.9667,70.83,70,91,11.54
339,Ambilobe,-13.2,49.05,73.51,90,18,3.0
340,Sattahip,12.6664,100.9007,77.09,69,40,10.36
