City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2021-11-28 20:00:38,-0.6,73.0833,81.52,75,51,17.29
1,Beisfjord,NO,2021-11-28 20:00:38,68.3751,17.5988,23.05,87,98,7.23
2,Luanda,AO,2021-11-28 19:56:39,-8.8368,13.2343,80.6,74,0,6.91
3,Coihaique,CL,2021-11-28 20:00:39,-45.5752,-72.0662,48.02,98,100,7.25
4,Rikitea,PF,2021-11-28 20:00:39,-23.1203,-134.9692,76.33,77,12,16.82
5,Bredasdorp,ZA,2021-11-28 20:00:39,-34.5322,20.0403,63.72,79,16,7.47
6,Qaanaaq,GL,2021-11-28 20:00:40,77.484,-69.3632,-8.3,79,25,7.85
7,Ushuaia,AR,2021-11-28 20:00:06,-54.8,-68.3,47.62,67,36,10.96
8,Port Alfred,ZA,2021-11-28 20:00:40,-33.5906,26.891,66.25,80,8,7.87
9,Hermanus,ZA,2021-11-28 20:00:41,-34.4187,19.2345,64.36,83,62,8.59
10,Poum,NC,2021-11-28 20:00:41,-20.2333,164.0167,79.36,77,55,5.26
11,Fort Nelson,CA,2021-11-28 20:00:42,58.8053,-122.7002,1.04,88,95,2.26
12,Jalu,LY,2021-11-28 20:00:42,29.0331,21.5482,76.53,20,100,12.06
13,Zhigansk,RU,2021-11-28 20:00:42,66.7697,123.3711,-8.7,99,100,5.39
14,Karratha,AU,2021-11-28 20:00:43,-20.7377,116.8463,81.23,62,11,4.41
15,Victoria,HK,2021-11-28 19:57:48,22.2855,114.1577,69.78,69,47,6.42
16,Kaitangata,NZ,2021-11-28 20:00:43,-46.2817,169.8464,53.85,58,100,7.56
17,Castro,BR,2021-11-28 20:00:44,-24.7911,-50.0119,81.28,48,78,4.14
18,Cape Town,ZA,2021-11-28 19:58:40,-33.9258,18.4232,64.81,88,40,4.61
19,Vaini,TO,2021-11-28 20:00:44,-21.2,-175.2,77.56,60,2,18.95
20,Cockburn Town,TC,2021-11-28 20:00:45,21.4612,-71.1419,78.08,76,57,11.27
21,Saint-Philippe,RE,2021-11-28 20:00:45,-21.3585,55.7679,76.59,83,41,3.65
22,Vardo,NO,2021-11-28 20:00:46,70.3705,31.1107,17.58,86,40,18.41
23,Tuktoyaktuk,CA,2021-11-28 20:00:46,69.4541,-133.0374,-9.4,77,75,17.27
24,East London,ZA,2021-11-28 20:00:33,-33.0153,27.9116,69.44,77,20,5.48
25,Narsaq,GL,2021-11-28 20:00:47,60.9167,-46.05,37.62,100,100,3.09
26,Atuona,PF,2021-11-28 19:55:58,-9.8,-139.0333,78.33,74,1,18.88
27,Punta Arenas,CL,2021-11-28 19:58:38,-53.15,-70.9167,50.11,57,75,29.93
28,Jamestown,US,2021-11-28 19:58:10,42.097,-79.2353,36.72,93,90,12.66
29,Mehamn,NO,2021-11-28 20:00:48,71.0357,27.8492,14.18,92,36,14.47
30,Busselton,AU,2021-11-28 20:00:48,-33.65,115.3333,60.35,85,23,8.59
31,Luancheng,CN,2021-11-28 20:00:49,37.8792,114.6517,42.6,74,100,2.51
32,Turuvekere,IN,2021-11-28 20:00:49,13.1642,76.6667,65.16,95,100,5.79
33,Batsfjord,NO,2021-11-28 20:00:49,70.6345,29.7185,17.6,78,0,19.57
34,Alton,US,2021-11-28 19:58:36,38.8906,-90.1843,45.23,26,27,12.41
35,Ndjole,GA,2021-11-28 20:00:50,-0.1783,10.7649,76.98,92,98,3.76
36,Dikson,RU,2021-11-28 20:00:50,73.5069,80.5464,-15.05,100,100,11.97
37,Rupert,US,2021-11-28 20:00:51,42.6191,-113.6772,54.88,31,5,1.45
38,Ribeira Grande,PT,2021-11-28 20:00:51,38.5167,-28.7,61.2,67,20,6.91
39,Tres Arroyos,AR,2021-11-28 20:00:52,-38.3739,-60.2798,66.78,68,100,8.16
40,Nemuro,JP,2021-11-28 20:00:52,43.3236,145.575,39.92,69,3,10.67
41,Fartatesti,RO,2021-11-28 20:00:52,44.7833,24.0,48.94,80,100,5.95
42,Arraial Do Cabo,BR,2021-11-28 19:58:00,-22.9661,-42.0278,82.36,83,20,6.91
43,Hofn,IS,2021-11-28 20:00:53,64.2539,-15.2082,31.05,98,100,9.15
44,Coquimbo,CL,2021-11-28 20:00:53,-29.9533,-71.3436,64.87,69,4,9.22
45,Hayvoron,UA,2021-11-28 20:00:54,48.3396,29.8679,47.59,96,98,9.42
46,Luderitz,NA,2021-11-28 20:01:54,-26.6481,15.1594,61.86,83,4,9.31
47,Arica,CL,2021-11-28 20:00:06,-18.475,-70.3042,69.67,67,91,7.43
48,Kapaa,US,2021-11-28 20:01:55,22.0752,-159.319,76.23,69,1,11.3
49,Mar Del Plata,AR,2021-11-28 20:01:56,-38.0023,-57.5575,63.68,89,100,14.92
50,Barrow,US,2021-11-28 20:01:56,71.2906,-156.7887,-11.18,70,90,13.8
51,Plouzane,FR,2021-11-28 20:01:56,48.3833,-4.6167,43.12,100,90,3.44
52,Gaeta,IT,2021-11-28 20:01:57,41.2183,13.5628,51.55,71,100,15.1
53,Kamen-Rybolov,RU,2021-11-28 20:01:57,44.7481,132.0403,30.63,83,97,9.19
54,Petropavlovsk-Kamchatskiy,RU,2021-11-28 20:01:58,53.0452,158.6483,7.39,66,0,2.24
55,High Prairie,CA,2021-11-28 19:57:37,55.4334,-116.4858,40.3,84,100,10.09
56,Tandalti,SD,2021-11-28 20:01:58,13.0167,31.8667,86.09,23,0,12.33
57,Price,US,2021-11-28 20:01:59,39.5994,-110.8107,53.78,34,0,2.37
58,Marawi,PH,2021-11-28 19:59:06,7.9986,124.2928,68.23,92,72,2.62
59,Vila,PT,2021-11-28 20:01:59,42.0304,-8.1588,43.68,98,100,5.77
60,Bardiyah,LY,2021-11-28 20:02:00,31.7561,25.0865,74.23,42,100,15.61
61,Bereda,ES,2021-11-28 20:02:00,43.2686,-7.5406,49.75,94,100,6.93
62,Khatanga,RU,2021-11-28 20:02:01,71.9667,102.5,-8.54,98,100,9.17
63,Esperance,AU,2021-11-28 20:02:01,-33.8667,121.9,64.24,87,92,14.97
64,Mataura,NZ,2021-11-28 20:02:01,-46.1927,168.8643,53.67,61,94,2.19
65,Petrivka,UA,2021-11-28 20:02:02,46.9695,30.9591,54.05,94,100,7.72
66,Vilhena,BR,2021-11-28 20:02:02,-12.7406,-60.1458,80.33,68,93,7.29
67,Lata,PT,2021-11-28 20:02:03,40.1629,-8.3327,52.21,96,95,7.16
68,Hasaki,JP,2021-11-28 20:02:03,35.7333,140.8333,34.2,48,1,1.43
69,Albany,US,2021-11-28 20:00:14,42.6001,-73.9662,30.61,74,93,4.94
70,Thompson,CA,2021-11-28 20:00:26,55.7435,-97.8558,10.11,77,52,1.21
71,Coari,BR,2021-11-28 19:59:50,-4.085,-63.1414,82.31,84,74,0.98
72,Lompoc,US,2021-11-28 20:02:04,34.6391,-120.4579,79.11,18,1,5.75
73,Axim,GH,2021-11-28 20:02:04,4.8699,-2.2405,79.86,81,100,6.49
74,Asyut,EG,2021-11-28 19:58:48,27.181,31.1837,69.98,20,73,5.21
75,Pag,HR,2021-11-28 20:02:05,44.445,15.0575,48.78,70,100,17.18
76,Waw,SS,2021-11-28 20:00:04,7.7029,27.9953,86.59,30,85,1.66
77,Sri Aman,MY,2021-11-28 20:02:06,1.2376,111.4621,70.75,97,99,2.24
78,Qarqin,AF,2021-11-28 20:02:06,37.4185,66.0436,51.28,54,0,10.02
79,Butaritari,KI,2021-11-28 20:02:06,3.0707,172.7902,81.5,78,79,13.24
80,Hilo,US,2021-11-28 20:00:06,19.7297,-155.09,76.86,71,13,10.63
81,Georgetown,MY,2021-11-28 20:01:26,5.4112,100.3354,76.93,94,20,0.0
82,Port Lincoln,AU,2021-11-28 20:02:07,-34.7333,135.8667,58.89,77,1,6.06
83,Bluff,NZ,2021-11-28 20:02:08,-46.6,168.3333,54.57,70,53,18.54
84,Mahebourg,MU,2021-11-28 20:02:08,-20.4081,57.7,76.55,73,4,5.57
85,Kushima,JP,2021-11-28 20:02:08,31.4583,131.2333,51.04,74,72,5.57
86,Mayo,US,2021-11-28 20:02:09,38.8876,-76.5119,55.81,51,51,3.6
87,Aktash,RU,2021-11-28 20:02:09,50.3,87.7333,2.19,88,74,3.04
88,Upernavik,GL,2021-11-28 20:02:10,72.7868,-56.1549,-8.97,78,5,11.63
89,Ballina,AU,2021-11-28 20:02:10,-28.8667,153.5667,66.24,86,99,8.08
90,Alexandria,EG,2021-11-28 20:02:11,31.2156,29.9553,72.52,55,100,5.84
91,Nikolskoye,RU,2021-11-28 20:03:11,59.7035,30.7861,24.69,93,97,4.92
92,Newberry,US,2021-11-28 20:03:11,34.2746,-81.6187,62.82,32,100,6.15
93,Narasapur,IN,2021-11-28 20:03:12,16.45,81.6667,73.42,93,100,6.24
94,Beyneu,KZ,2021-11-28 20:03:12,45.3167,55.2,36.63,45,95,10.27
95,Kodiak,US,2021-11-28 20:02:18,57.79,-152.4072,10.89,69,3,7.7
96,Clyde River,CA,2021-11-28 20:03:13,70.4692,-68.5914,-3.77,84,100,17.27
97,Palu,ID,2021-11-28 20:03:13,-0.8917,119.8707,75.25,96,100,2.15
98,Puerto Ayora,EC,2021-11-28 20:03:14,-0.7393,-90.3518,78.76,81,87,10.07
99,Yala,TH,2021-11-28 20:03:14,6.3333,101.25,72.41,99,100,0.69
100,Namibe,AO,2021-11-28 20:03:15,-15.1961,12.1522,69.46,76,90,7.0
101,Tautira,PF,2021-11-28 20:03:15,-17.7333,-149.15,84.22,80,85,19.84
102,Ilo,PE,2021-11-28 20:03:15,-17.6394,-71.3375,67.69,74,88,6.29
103,Roma,US,2021-11-28 20:03:16,43.2128,-75.4557,33.94,80,90,5.75
104,Sola,VU,2021-11-28 20:03:16,-13.8833,167.55,81.52,74,39,8.97
105,Tucuman,AR,2021-11-28 20:03:10,-26.8241,-65.2226,82.4,34,75,5.75
106,Rincon,US,2021-11-28 20:03:17,32.296,-81.2354,62.51,36,90,10.36
107,Iqaluit,CA,2021-11-28 20:03:17,63.7506,-68.5145,21.63,74,100,8.23
108,Mpanda,TZ,2021-11-28 20:03:17,-6.3655,31.0409,68.52,73,76,2.21
109,Chuy,UY,2021-11-28 20:03:18,-33.6971,-53.4616,66.69,95,100,3.24
110,Alyangula,AU,2021-11-28 20:03:18,-13.8483,136.4192,81.84,58,57,2.1
111,Ahipara,NZ,2021-11-28 20:03:18,-35.1667,173.1667,66.34,71,100,2.21
112,Derzhavinsk,KZ,2021-11-28 20:03:19,51.1,66.3167,11.95,75,100,7.29
113,Billings,US,2021-11-28 20:02:43,45.7833,-108.5007,53.37,37,75,19.57
114,Longonjo,AO,2021-11-28 20:03:19,-12.9067,15.2533,63.68,90,64,2.04
115,Orumiyeh,IR,2021-11-28 20:03:20,37.5527,45.0761,44.85,73,5,6.58
116,Khuzhir,RU,2021-11-28 20:03:20,53.1939,107.3397,23.18,65,100,12.64
117,Kaiyuan,CN,2021-11-28 20:03:21,23.6977,103.3037,51.53,94,21,4.21
118,Palora,EC,2021-11-28 20:03:21,-1.7,-77.9333,87.78,50,69,5.5
119,Noumea,NC,2021-11-28 20:03:21,-22.2763,166.4572,78.78,83,48,10.63
120,Montepuez,MZ,2021-11-28 20:03:22,-13.1256,38.9997,70.38,80,56,7.81
121,Great Bend,US,2021-11-28 20:03:22,38.3645,-98.7648,55.92,35,1,11.5
122,Hobyo,SO,2021-11-28 20:03:23,5.3505,48.5268,81.43,78,32,15.08
123,Bambous Virieux,MU,2021-11-28 20:03:23,-20.3428,57.7575,76.53,72,3,5.26
124,Vestmanna,FO,2021-11-28 20:03:23,62.1564,-7.1664,34.72,80,90,0.0
125,Sao Filipe,CV,2021-11-28 20:03:24,14.8961,-24.4956,76.91,70,93,14.29
126,Humaita,BR,2021-11-28 20:03:24,-7.5061,-63.0208,82.2,85,96,2.24
127,Cidreira,BR,2021-11-28 20:03:24,-30.1811,-50.2056,72.84,85,100,7.52
128,Norman Wells,CA,2021-11-28 20:03:25,65.282,-126.8329,-15.25,95,99,6.38
129,Matara,LK,2021-11-28 20:03:25,5.9485,80.5353,75.29,92,100,3.71
130,Kruisfontein,ZA,2021-11-28 20:03:26,-34.0033,24.7314,63.73,76,0,18.41
131,Salalah,OM,2021-11-28 20:03:26,17.0151,54.0924,75.29,73,0,4.61
132,Yellowknife,CA,2021-11-28 20:00:56,62.456,-114.3525,15.46,93,100,13.35
133,Esfarayen,IR,2021-11-28 20:03:27,37.0765,57.5101,47.39,49,100,4.38
134,Torbay,CA,2021-11-28 20:00:20,47.6666,-52.7314,46.15,76,57,16.35
135,Avarua,CK,2021-11-28 20:03:27,-21.2078,-159.775,78.85,65,0,4.61
136,Guilin,CN,2021-11-28 20:03:28,25.2819,110.2864,51.78,79,2,4.45
137,Porto Walter,BR,2021-11-28 20:03:28,-8.2686,-72.7439,91.85,45,100,4.72
138,Margate,GB,2021-11-28 20:04:29,51.3813,1.3862,37.11,78,44,24.34
139,Maldonado,UY,2021-11-28 20:04:29,-34.6667,-54.9167,67.39,90,100,7.07
140,Yanam,IN,2021-11-28 20:04:29,16.7333,82.2167,75.47,82,100,5.88
141,Chokwe,MZ,2021-11-28 20:04:30,-24.5333,32.9833,77.31,48,32,11.59
142,Orlik,RU,2021-11-28 20:04:30,52.5178,99.825,4.03,91,100,4.25
143,Lagunas,PE,2021-11-28 20:04:31,-5.2269,-75.6753,92.48,44,100,4.14
144,Pisco,PE,2021-11-28 20:04:31,-13.7,-76.2167,71.65,68,0,23.02
145,Carnarvon,AU,2021-11-28 20:04:31,-24.8667,113.6333,75.27,64,0,14.97
146,Saint-Pierre,RE,2021-11-28 20:04:32,-21.3393,55.4781,76.68,78,20,5.75
147,Pevek,RU,2021-11-28 20:04:32,69.7008,170.3133,1.45,84,100,1.45
148,Dingle,PH,2021-11-28 20:04:32,10.9995,122.6711,75.13,94,61,7.4
149,Santa Maria,BR,2021-11-28 20:01:12,-29.6842,-53.8069,73.76,82,100,1.25
150,Fortuna,US,2021-11-28 20:04:33,40.5982,-124.1573,53.94,100,90,0.0
151,Makungu,TZ,2021-11-28 20:04:33,-8.7333,35.2833,63.21,92,13,2.55
152,Andenes,NO,2021-11-28 20:04:34,69.3143,16.1194,28.38,86,75,10.36
153,Hobart,AU,2021-11-28 20:04:34,-42.8794,147.3294,51.66,87,0,6.91
154,Khuzdar,PK,2021-11-28 20:04:35,27.7384,66.6434,52.81,33,0,0.96
155,Port Blair,IN,2021-11-28 20:04:35,11.6667,92.75,79.86,74,11,7.54
156,Assiniboia,CA,2021-11-28 20:04:36,49.6334,-105.9845,51.64,60,92,13.2
157,Marsh Harbour,BS,2021-11-28 20:04:36,26.5412,-77.0636,72.59,64,96,2.82
158,Tabou,CI,2021-11-28 20:04:36,4.423,-7.3528,79.38,81,30,5.91
159,Na Klang,TH,2021-11-28 20:04:37,17.3072,102.1889,64.45,79,45,4.97
160,Meridian,US,2021-11-28 20:04:37,43.6121,-116.3915,50.85,65,1,0.0
161,Nyagan,RU,2021-11-28 20:04:37,62.1406,65.3936,24.75,90,100,9.42
162,Port Moresby,PG,2021-11-28 20:04:38,-9.4431,147.1797,76.33,87,99,1.97
163,Moranbah,AU,2021-11-28 20:04:38,-22.0016,148.0466,73.83,88,85,12.21
164,Tuatapere,NZ,2021-11-28 20:04:39,-46.1333,167.6833,55.31,55,29,1.92
165,Poya,NC,2021-11-28 20:04:39,-21.35,165.15,80.01,74,80,3.56
166,Safaga,EG,2021-11-28 20:04:39,26.7292,33.9365,78.24,36,77,7.02
167,Richards Bay,ZA,2021-11-28 20:02:51,-28.783,32.0377,74.88,67,0,12.95
168,Bandarbeyla,SO,2021-11-28 20:04:40,9.4942,50.8122,78.1,74,32,19.26
169,Alice Springs,AU,2021-11-28 20:01:16,-23.7,133.8833,56.75,77,0,0.0
170,Sterling,US,2021-11-28 20:04:41,39.0062,-77.4286,57.34,41,40,10.36
171,Krasnoselkup,RU,2021-11-28 20:04:41,65.7,82.4667,-17.03,100,72,5.66
172,Qasigiannguit,GL,2021-11-28 20:04:41,68.8193,-51.1922,17.85,88,100,5.01
173,Qaqortoq,GL,2021-11-28 20:04:42,60.7167,-46.0333,37.9,99,100,8.3
174,Souillac,MU,2021-11-28 20:04:42,-20.5167,57.5167,76.23,76,0,6.15
175,Tura,IN,2021-11-28 20:04:43,25.5198,90.2201,59.36,65,5,3.33
176,Harlingen,US,2021-11-28 20:02:49,26.1906,-97.6961,73.58,56,1,9.22
177,Luis Correia,BR,2021-11-28 20:04:43,-2.8792,-41.6669,87.8,74,20,17.27
178,Bulgan,MN,2021-11-28 20:04:44,48.8125,103.5347,12.13,74,54,5.99
179,Nyurba,RU,2021-11-28 20:04:44,63.2842,118.3319,-17.59,100,72,3.47
180,Batemans Bay,AU,2021-11-28 20:00:05,-35.7167,150.1833,54.39,79,61,3.83
181,Waipawa,NZ,2021-11-28 20:04:45,-41.4122,175.5153,61.43,72,73,4.43
182,Aleksandrov Gay,RU,2021-11-28 20:05:45,50.147,48.5704,37.17,79,76,10.09
183,Port Hardy,CA,2021-11-28 20:05:46,50.6996,-127.4199,48.69,96,100,4.88
184,Caravelas,BR,2021-11-28 20:05:46,-17.7125,-39.2481,75.27,92,33,10.45
185,Provideniya,RU,2021-11-28 20:05:47,64.3833,-173.3,-5.3,77,8,5.32
186,Shelburne,CA,2021-11-28 20:05:47,44.0787,-80.2041,26.49,96,100,4.12
187,Lavrentiya,RU,2021-11-28 20:05:47,65.5833,-171.0,-12.75,91,3,6.76
188,Staryy Nadym,RU,2021-11-28 20:05:48,65.6118,72.6842,-12.17,97,100,6.67
